No.,Building Code,Room Code,room_capacity_indicator,room_capacity_value,room_category_1,room_category_2,room_category_3,room_category_4,room_category_5,room_category_6,room_category_7,room_category_8,room_category_NA,room_area_indicator,room_area_value,room_riv_rate_indicator,room_riv_rate_value,room_age_indicator,room_age_value,room_assessment_condition_rating_indicator,room_assessment_condition_rating_value,room_space_quality_indicator,room_space_quality_value
99,102,127A,0,0.017647059,0,0,1,0,0,0,0,0,0,0,0.003927333,0,0.262266019,0,0.09202454,0,0.09202454,0,1
100,102,128,1,0,0,0,0,0,0,0,0,1,0,0,0.005914321,0,0.262266019,0,0.09202454,0,0.09202454,0,1
101,102,128A,1,0,0,0,0,0,0,0,0,1,0,0,0.002878534,0,0.262266019,0,0.09202454,0,0.09202454,0,1
102,102,129,1,0,0,0,0,0,0,0,0,1,0,0,0.001925686,0,0.262266019,0,0.09202454,0,0.09202454,0,1
103,102,130,1,0,0,0,0,0,0,0,0,1,0,0,0.001665818,0,0.262266019,0,0.09202454,0,0.09202454,0,1
104,102,132,1,0,0,0,0,0,0,0,0,1,0,0,0.000702309,0,0.262266019,0,0.09202454,0,0.09202454,0,1
105,102,132A,1,0,0,0,0,0,0,0,0,1,0,0,0.000277192,0,0.262266019,0,0.09202454,0,0.09202454,0,1
106,102,132B,1,0,0,0,0,0,0,0,0,1,0,0,0.000395798,0,0.262266019,0,0.09202454,0,0.09202454,0,1
107,102,133,0,0.003921569,1,0,0,0,0,0,0,0,0,0,0.001923021,0,0.262266019,0,0.09202454,0,0.09202454,0,1
108,102,134,0,0.015686275,1,0,0,0,0,0,0,0,0,0,0.003915339,0,0.262266019,0,0.09202454,0,0.09202454,0,1
109,102,135,0,0.001960784,0,0,1,0,0,0,0,0,0,0,0.003245014,0,0.262266019,0,0.09202454,0,0.09202454,0,1
110,102,136,1,0,0,0,0,0,0,0,0,1,0,0,0.000257202,0,0.262266019,0,0.09202454,0,0.09202454,0,1
111,102,137,0,0.001960784,0,0,1,0,0,0,0,0,0,0,0.002803905,0,0.262266019,0,0.09202454,0,0.09202454,0,1
112,102,139,0,0.001960784,0,0,1,0,0,0,0,0,0,0,0.00241477,0,0.262266019,0,0.09202454,0,0.09202454,0,1
113,102,140,1,0,0,0,0,1,0,0,0,0,0,0,0.000311841,0,0.262266019,0,0.09202454,0,0.09202454,0,1
114,102,141,0,0.001960784,0,0,1,0,0,0,0,0,0,0,0.00241477,0,0.262266019,0,0.09202454,0,0.09202454,0,1
115,102,142,1,0,0,0,0,1,0,0,0,0,0,0,0.000311841,0,0.262266019,0,0.09202454,0,0.09202454,0,1
116,102,143,0,0.021568627,0,0,1,0,0,0,0,0,0,0,0.014251408,0,0.262266019,0,0.09202454,0,0.09202454,0,1
117,102,145,0,0.005882353,0,0,1,0,0,0,0,0,0,0,0.00495481,0,0.262266019,0,0.09202454,0,0.09202454,0,1
118,102,146,0,0.003921569,0,0,1,0,0,0,0,0,0,0,0.003456906,0,0.262266019,0,0.09202454,0,0.09202454,0,1
119,102,147,1,0,0,0,0,0,0,0,0,1,0,0,0.001815076,0,0.262266019,0,0.09202454,0,0.09202454,0,1
120,102,147A,1,0,0,0,0,0,0,0,0,1,0,0,9.73E-05,0,0.262266019,0,0.09202454,0,0.09202454,0,1
121,102,150,1,0,0,0,0,0,0,1,0,0,0,0,0.002685299,0,0.262266019,0,0.09202454,0,0.09202454,0,1
122,102,150A,1,0,0,0,1,0,0,0,0,0,0,0,0.002671972,0,0.262266019,0,0.09202454,0,0.09202454,0,1
123,102,151,1,0,0,0,1,0,0,0,0,0,0,0,0.013742334,0,0.262266019,0,0.09202454,0,0.09202454,0,1
124,102,153,1,0,0,0,1,0,0,0,0,0,0,0,0.002350803,0,0.262266019,0,0.09202454,0,0.09202454,0,1
125,102,154,1,0,0,0,1,0,0,0,0,0,0,0,0.006248817,0,0.262266019,0,0.09202454,0,0.09202454,0,1
126,102,157,1,0,0,0,1,0,0,0,0,0,0,0,0.00252005,0,0.262266019,0,0.09202454,0,0.09202454,0,1
127,102,158A,0,0.003921569,1,0,0,0,0,0,0,0,0,0,0.001006154,0,0.262266019,0,0.09202454,0,0.09202454,0,1
128,102,158B,0,0.003921569,1,0,0,0,0,0,0,0,0,0,0.001006154,0,0.262266019,0,0.09202454,0,0.09202454,0,1
129,102,158C,0,0.003921569,1,0,0,0,0,0,0,0,0,0,0.000996826,0,0.262266019,0,0.09202454,0,0.09202454,0,1
130,102,159,1,0,0,0,0,0,0,1,0,0,0,0,0.001012817,0,0.262266019,0,0.09202454,0,0.09202454,0,1
131,102,164,0,0.001960784,1,0,0,0,0,0,0,0,0,0,0.002618666,0,0.262266019,0,0.09202454,0,0.09202454,0,1
132,102,165,0,0.001960784,1,0,0,0,0,0,0,0,0,0,0.002097598,0,0.262266019,0,0.09202454,0,0.09202454,0,1
133,102,168,1,0,0,0,0,1,0,0,0,0,0,0,0.001372634,0,0.262266019,0,0.09202454,0,0.09202454,0,1
134,102,169,1,0,0,0,0,1,0,0,0,0,0,0,0.001188728,0,0.262266019,0,0.09202454,0,0.09202454,0,1
135,102,170,1,0,0,0,1,0,0,0,0,0,0,0,0.002214872,0,0.262266019,0,0.09202454,0,0.09202454,0,1
136,102,201,1,0,0,0,1,0,0,0,0,0,0,0,0.007979936,0,0.262266019,0,0.09202454,0,0.09202454,0,1
137,102,202,0,0.001960784,1,0,0,0,0,0,0,0,0,0,0.001924353,0,0.262266019,0,0.09202454,0,0.09202454,0,1
138,102,203,0,0.015686275,1,0,0,0,0,0,0,0,0,0,0.002905187,0,0.262266019,0,0.09202454,0,0.09202454,0,1
139,102,203A,0,0.015686275,1,0,0,0,0,0,0,0,0,0,0.002970487,0,0.262266019,0,0.09202454,0,0.09202454,0,1
140,102,204,0,0.003921569,0,0,1,0,0,0,0,0,0,0,0.00567311,0,0.262266019,0,0.09202454,0,0.09202454,0,1
141,102,205,0,0.005882353,1,0,0,0,0,0,0,0,0,0,0.001925686,0,0.262266019,0,0.09202454,0,0.09202454,0,1
142,102,206,0,0.005882353,1,0,0,0,0,0,0,0,0,0,0.001924353,0,0.262266019,0,0.09202454,0,0.09202454,0,1
143,102,207,1,0,0,0,0,0,0,0,0,1,0,0,0.001783092,0,0.262266019,0,0.09202454,0,0.09202454,0,1
144,102,208,1,0,0,0,0,0,0,0,0,1,0,0,0.001429938,0,0.262266019,0,0.09202454,0,0.09202454,0,1
145,102,209,1,0,0,0,0,0,0,0,0,1,0,0,0.000633011,0,0.262266019,0,0.09202454,0,0.09202454,0,1
146,102,210,1,0,0,0,0,0,0,0,0,1,0,0,0.005887668,0,0.262266019,0,0.09202454,0,0.09202454,0,1
147,102,211,0,0.023529412,0,0,0,0,0,1,0,0,0,0,0.004634973,0,0.262266019,0,0.09202454,0,0.09202454,0,1
148,102,212,0,0.035294118,0,0,1,0,0,0,0,0,0,0,0.018629178,0,0.262266019,0,0.09202454,0,0.09202454,0,1
